match_id,Home Team,Home Goals,Ball Possession_x,Goalkeeper Saves_x,Passes %_x,Away Team,Away Goals,Ball Possession_y,Goalkeeper Saves_y,Passes %_y,x Goals Normalized,x Ball Possession Normalized,x Goalkeeper Saves Normalized,x Passes % Normalized,y Goals Normalized,y Ball Possession Normalized,y Goalkeeper Saves Normalized,y Passes % Normalized
20782,Sevilla,1,55.0,2.0,78.0,Real Betis,0,45.0,2.0,69.0,0.0,1.8987656072897443,1.3483997249264843,1.7600812086182838,0.0,1.599975348717865,1.4433756729740645,1.568992457583687
27456,Sevilla,3,38.0,4.0,73.0,Real Betis,2,62.0,2.0,85.0,4.08248290463863,1.3118744195820053,2.6967994498529686,1.647255490117112,4.08248290463863,2.204410480455725,1.4433756729740645,1.9328167955741073
203683,Sevilla,2,55.0,2.0,73.0,Real Betis,0,45.0,1.0,68.0,0.0,1.8987656072897443,1.3483997249264843,1.647255490117112,0.0,1.599975348717865,0.7216878364870323,1.546253436459286
214300,Sevilla,2,45.0,1.0,79.0,Real Betis,0,55.0,3.0,85.0,0.0,1.5535354968734272,0.6741998624632421,1.782646352318518,0.0,1.9555254262107238,2.165063509461097,1.9328167955741073
605334,Sevilla,1,52.0,2.0,84.0,Real Betis,0,48.0,2.0,80.0,0.0,1.7951965741648492,1.3483997249264843,1.8954720708196904,0.0,1.7066403719657228,1.4433756729740645,1.819121689952101
720996,Sevilla,2,46.0,1.0,77.0,Real Betis,1,54.0,1.0,81.0,2.041241452319315,1.5880585079150589,0.6741998624632421,1.7375160649180494,2.041241452319315,1.9199704184614381,0.7216878364870323,1.8418607110765022
878288,Sevilla,0,54.0,0.0,79.0,Real Betis,0,46.0,4.0,75.0,0.0,1.8642425962481126,0.0,1.782646352318518,0.0,1.6355303564671508,2.886751345948129,1.7054265843300946
1038076,Sevilla,1,61.0,5.0,83.0,Real Betis,1,39.0,3.0,77.0,2.041241452319315,2.105903673539535,3.37099931231621,1.8729069271194558,2.041241452319315,1.3866453022221497,2.165063509461097,1.7509046265788972
