id,name,logo,country,league_name,league_id,year
170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,Germany,Bundesliga,78,2020.0
172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,Germany,Bundesliga,78,2020.0
173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,Germany,Bundesliga,78,2020.0
174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,Germany,Bundesliga,78,2020.0
182,Union Berlin,https://media.api-sports.io/football/teams/182.png,Germany,Bundesliga,78,2020.0
188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,Germany,Bundesliga,78,2020.0
191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,Germany,Bundesliga,78,2020.0
192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,Germany,Bundesliga,78,2020.0
487,Lazio,https://media.api-sports.io/football/teams/487.png,Italy,Serie A,135,2020.0
488,Sassuolo,https://media.api-sports.io/football/teams/488.png,Italy,Serie A,135,2020.0
489,AC Milan,https://media.api-sports.io/football/teams/489.png,Italy,Serie A,135,2020.0
490,Cagliari,https://media.api-sports.io/football/teams/490.png,Italy,Serie A,135,2020.0
492,Napoli,https://media.api-sports.io/football/teams/492.png,Italy,Serie A,135,2020.0
494,Udinese,https://media.api-sports.io/football/teams/494.png,Italy,Serie A,135,2020.0
495,Genoa,https://media.api-sports.io/football/teams/495.png,Italy,Serie A,135,2020.0
496,Juventus,https://media.api-sports.io/football/teams/496.png,Italy,Serie A,135,2020.0
497,AS Roma,https://media.api-sports.io/football/teams/497.png,Italy,Serie A,135,2020.0
498,Sampdoria,https://media.api-sports.io/football/teams/498.png,Italy,Serie A,135,2020.0
499,Atalanta,https://media.api-sports.io/football/teams/499.png,Italy,Serie A,135,2020.0
500,Bologna,https://media.api-sports.io/football/teams/500.png,Italy,Serie A,135,2020.0
501,Crotone,https://media.api-sports.io/football/teams/501.png,Italy,Serie A,135,2020.0
502,Fiorentina,https://media.api-sports.io/football/teams/502.png,Italy,Serie A,135,2020.0
503,Torino,https://media.api-sports.io/football/teams/503.png,Italy,Serie A,135,2020.0
504,Verona,https://media.api-sports.io/football/teams/504.png,Italy,Serie A,135,2020.0
505,Inter,https://media.api-sports.io/football/teams/505.png,Italy,Serie A,135,2020.0
506,Benevento,https://media.api-sports.io/football/teams/506.png,Italy,Serie A,135,2020.0
515,Spezia,https://media.api-sports.io/football/teams/515.png,Italy,Serie A,135,2020.0
523,Parma,https://media.api-sports.io/football/teams/523.png,Italy,Serie A,135,2020.0
77,Angers,https://media.api-sports.io/football/teams/77.png,France,Ligue 1,61,2020.0
78,Bordeaux,https://media.api-sports.io/football/teams/78.png,France,Ligue 1,61,2020.0
