match_id,Home Team,Home Goals,Ball Possession_x,Goalkeeper Saves_x,Passes %_x,Away Team,Away Goals,Ball Possession_y,Goalkeeper Saves_y,Passes %_y
20782,Sevilla,1,55%,2.0,78%,Real Betis,0,45%,2.0,69%
27456,Sevilla,3,38%,4.0,73%,Real Betis,2,62%,2.0,85%
203683,Sevilla,2,55%,2.0,73%,Real Betis,0,45%,1.0,68%
214300,Sevilla,2,45%,1.0,79%,Real Betis,0,55%,3.0,85%
605334,Sevilla,1,52%,2.0,84%,Real Betis,0,48%,2.0,80%
720996,Sevilla,2,46%,1.0,77%,Real Betis,1,54%,1.0,81%
878288,Sevilla,0,54%,0.0,79%,Real Betis,0,46%,4.0,75%
1038076,Sevilla,1,61%,5.0,83%,Real Betis,1,39%,3.0,77%
